City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
265,Russell,US,32.3502,-85.1999,65.43,87,0,0.0,clear sky,0.0,0.0
266,Husavik,IS,66.0449,-17.3389,23.23,89,100,8.68,light snow,0.0,0.0
267,Guajara,BR,-2.9667,-57.6667,72.16,99,100,1.86,overcast clouds,0.0,0.0
268,Celestun,MX,20.8667,-90.4,78.84,82,0,10.54,clear sky,0.0,0.0
269,Kieta,PG,-6.2167,155.6333,83.41,82,100,9.82,moderate rain,0.0,0.0
270,Dickinson,US,29.4608,-95.0513,72.16,94,100,9.22,mist,0.0,0.0
271,Grindavik,IS,63.8424,-22.4338,28.87,86,100,23.02,snow,0.0,0.0
272,Mahibadhoo,MV,3.7833,72.9667,83.16,64,29,2.13,scattered clouds,0.0,0.0
273,Korla,CN,41.7597,86.1469,63.12,19,6,5.28,clear sky,0.0,0.0
274,Vitim,RU,59.4511,112.5578,20.8,82,100,7.2,overcast clouds,0.0,0.0
275,Basco,PH,20.4487,121.9702,74.41,72,75,20.29,broken clouds,0.0,0.0
276,Gobabis,NA,-22.45,18.9667,59.94,43,0,6.46,clear sky,0.0,0.0
277,Vila Velha,BR,-20.3297,-40.2925,76.95,94,20,2.3,few clouds,0.0,0.0
278,Koungheul,SN,13.9833,-14.8,73.96,44,9,11.43,clear sky,0.0,0.0
279,Pau Brasil,BR,-15.4642,-39.6511,67.46,97,7,0.58,clear sky,0.0,0.0
280,Voh,NC,-20.9667,164.7,81.01,77,100,3.51,overcast clouds,0.0,0.0
281,Shingu,JP,33.7333,135.9833,60.1,41,0,5.55,clear sky,0.0,0.0
